GRB	<a href="/archive/grb_table/swgrbtable_help.html#bat_t90">BAT T90 [sec]</a>	<a href="/archive/grb_table/swgrbtable_help.html#redshift">Redshift</a>
130131B	4.30	2.539 (Keck I: emission, host)
121229A	n/a	2.707 (VLT: absorption)
121211A	182	1.023 (Keck I)
121201A	85	3.385 (VLT: emission  & absorption)
121128A	23.3	2.20 (Gemini North: absorption)
121027A	62.6	1.773 (arXiv:1302.2352v1)|1.77 (Gemini-South: absorption)|1.773 (VLT: emission and absorption)
121024A	69	2.298 (VLT: absorption)
120922A	173	3.1 (MPG/ESO :photometric)
120909A	n/a	3.93 (VLT: absorption)
120907A	16.9	0.970 (OSIRIS/GTC: absorption)
120815A	9.7	2.358 (VLT/X-shooter: absorption)
120811C	26.8	2.671 (GTC: absorption)|2.67 {NOT: absorption)
120805A	48.00	3.1 (arXiv:1503.05323v1)
120802A	50	3.796 (Gemini-North: absorption)
120729A	71.5	0.80 (Gemini-North: absorption)
120724A	72.8	1.48 (Gemini-North: absorption, tentative)
120722A	42.4	0.9586 (VLT: emission from host)
120714B	159	0.3984 (VLT: absorption)
120712A	14.7	4.0 (MPG/ESO: photo-z)|4.15 (Gemini-South: absorption)| 4.1745 (VLT: absorption)
120521C	26.7	~6.0 (Gemini-North: redshift estimate)
120422A	5.35	0.28 (Gemini-North: emission)|0.283 (VLT: emission)
120404A	38.7	2.876 (Gemini-North: absorption)|~2.88 (VLT/UT2: absorption)
120327A	62.9	2.81 (Gemini-South: absorption)|2.813 (VLT/UT2: absorption)| 2.813 (GTC: absorption)
120326A	69.6	1.798 (GTC: absorption)
120119A	253.8	1.728 (Gemini-South: absorption)|1.73 (Lick: absorption)|1.728 (MMT: absorption)
120118B	23.26	2.943 (Keck I: emission)
111229A	25.4	1.3805 (Gemini-South: absorption)
111228A	101.20	0.714 (MMT: absorption)|0.716 (Gemini-South: absorption)| 0.7156 (TNG: absorption)|0.713 (NOT: absorption)|0.71627 (VLT: absorption)
111225A	106.8	0.297 (GTC: absorption)
111209A	n/a	0.677 (arXiv:1302.2352v1)|0.677 (VLT: absorption)
111123A	290.0	3.1516 (VLT: emission from host)
111107A	26.6	2.893 (Gemini-South: absorption)| Consistent with Gemini-South (VLT: absorption)
111008A	63.46	5.0 (Gemini-South: absorption)|4.9898 (VLT: absorption)
110818A	103	3.36 (VLT: absorption)
110808A	48	1.348 (VLT: emission)
110801A	385	1.858 (GTC: absorption)
110731A	38.8	2.83 (Gemini-North: absorption)
110726A	5.2	1.036 < z < 2.7 (Gemini-North)
110715A	13.0	0.82 (VLT: absorption)
110503A	10.0	1.613 (GTC: absorption)|1.61 (TNG: absorption), PAIRITEL (1.3m)
110422A	25.9	1.77 (TNG: absorption)| 1.770 (GTC: absorption)
110213A	48.0	1.46 (Bok: absorption)
