Frequency,Total,QuantumVacuum,Seismic,Newtonian,SuspensionThermal,Coating,Substrate,ExcessGas
5.72128992371419,4.14599481259983E-24,7.43154365236215E-25,9.32082889202107E-25,3.30681907617283E-24,2.06054074253855E-24,2.75238396571391E-25,7.53177367538681E-26,7.11271096399259E-25
5.73483189538904,4.10929532040454E-24,7.40472228521225E-25,9.11920725355417E-25,3.27941117074723E-24,2.04193043345993E-24,2.74939373366723E-25,7.5224447843002E-26,7.07913554936349E-25
5.7484059201497,4.07301596591868E-24,7.37800775115608E-25,8.92205284735591E-25,3.25223044548488E-24,2.02350734407602E-24,2.74640683398869E-25,7.51313561701103E-26,7.04572024019595E-25
5.76201207386401,4.03714961182489E-24,7.35139960195756E-25,8.72926406790105E-25,3.22527504365449E-24,2.00526945171542E-24,2.74342326291337E-25,7.5038461253631E-26,7.01246427188057E-25
5.7756504325794,4.00168929964425E-24,7.32489739296233E-25,8.54074168921504E-25,3.19854312502939E-24,1.98721474845087E-24,2.7404430166807E-25,7.49457626132033E-26,6.97936688353735E-25
5.78932107252331,3.96662825451065E-24,7.29850068305558E-25,8.35638880725008E-25,3.17203286569401E-24,1.96934126191756E-24,2.73746609153429E-25,7.48532597696652E-26,6.94642731799699E-25
5.80302407010359,3.93195987084163E-24,7.27220903467269E-25,8.17611078371167E-25,3.14574245785261E-24,1.95164703730562E-24,2.73449248372206E-25,7.476095224505E-26,6.91364482178241E-25
5.81675950190894,3.89767770957583E-24,7.24602201375989E-25,7.99981519129722E-25,3.11967010963992E-24,1.93413014228514E-24,2.73152218949612E-25,7.46688395625841E-26,6.8810186450903E-25
5.83052744470935,3.8637754926505E-24,7.21993918979345E-25,7.82741176031093E-25,3.09381404493399E-24,1.91678866602902E-24,2.72855520511285E-25,7.4576921246684E-26,6.84854804177275E-25
5.84432797545651,3.83024710245846E-24,7.19396013572128E-25,7.65881232661703E-25,3.06817250317106E-24,1.89962072794528E-24,2.72559152683289E-25,7.44851968229535E-26,6.81623226931911E-25
5.85816117128428,3.79708656300937E-24,7.16808442797974E-25,7.49393078089738E-25,3.04274373916256E-24,1.88262444919884E-24,2.72263115092106E-25,7.43936658181807E-26,6.78407058883772E-25
5.87202710950905,3.76428805825951E-24,7.14231164646038E-25,7.33268301917942E-25,3.01752602291423E-24,1.8657979988607E-24,2.71967407364645E-25,7.43023277603356E-26,6.75206226503797E-25
5.88592586763024,3.73166407409285E-24,7.11664137450072E-25,7.17498689460046E-25,2.99229088498163E-24,1.84913954414616E-24,2.71672029128234E-25,7.42111821785675E-26,6.72020656621229E-25
5.8998575233307,3.69887609013202E-24,7.0910731988764E-25,7.02076217037623E-25,2.96662166016749E-24,1.83264728851186E-24,2.71376980010627E-25,7.41202286032013E-26,6.68850276421833E-25
5.91382215447715,3.6664512605334E-24,7.06560670975282E-25,6.86993047394322E-25,2.94118093167232E-24,1.81631944870894E-24,2.71082259639992E-25,7.40294665657359E-26,6.65695013446116E-25
5.92781983912063,3.63438400251192E-24,7.04024150071356E-25,6.72241525224267E-25,2.91596659006097E-24,1.80015426131792E-24,2.70787867644927E-25,7.39388955988408E-26,6.62554795587563E-25
5.94185065549688,3.60266886781444E-24,7.0149771687127E-25,6.57814172811819E-25,2.89097654784477E-24,1.78414999490884E-24,2.70493803654443E-25,7.38485152363532E-26,6.5942955109088E-25
5.95591468202688,3.57130052255699E-24,6.98981331405681E-25,6.43703685779646E-25,2.86620873918964E-24,1.76830491677205E-24,2.70200067297973E-25,7.37583250132758E-26,6.56319208550243E-25
5.97001199731718,3.54027376184968E-24,6.9647495404045E-25,6.2990292894243E-25,2.84166111962825E-24,1.75261732964265E-24,2.6990665820537E-25,7.36683244657738E-26,6.53223696907562E-25
5.98414268016041,3.50958349576316E-24,6.939785454743E-25,6.16404932263389E-25,2.81733166577601E-24,1.73708555033149E-24,2.69613576006908E-25,7.35785131311721E-26,6.50142945450748E-25
5.99830680953569,3.47922475092324E-24,6.91492066736445E-25,6.03202886910992E-25,2.79321837505102E-24,1.72170791968737E-24,2.69320820333272E-25,7.34888905479527E-26,6.47076883811995E-25
6.01250446460909,3.44919266224087E-24,6.89015479185308E-25,5.90290141413257E-25,2.76931926539793E-24,1.70648279241324E-24,2.69028390815573E-25,7.33994562557519E-26,6.44025441966066E-25
6.02673572473404,3.41948247106651E-24,6.86548744507315E-25,5.77660197907153E-25,2.74563237501559E-24,1.69140853964553E-24,2.68736287085335E-25,7.33102097953576E-26,6.40988550228593E-25
6.04100066945181,3.3900895272974E-24,6.84091824713306E-25,5.65306708480591E-25,2.72215576208867E-24,1.67648355932554E-24,2.68444508774502E-25,7.32211507087067E-26,6.37966139254379E-25
6.05529937849195,3.36100927736414E-24,6.81644682138906E-25,5.53223471604689E-25,2.69888750452295E-24,1.66170625782384E-24,2.68153055515429E-25,7.31322785388823E-26,6.34958140035718E-25
